192.168.0.155 - - [13/Sep/2018:22:59:45 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:59:45 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:22:59:49 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 2
192.168.0.155 - - [13/Sep/2018:23:01:33 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:01:40 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
192.168.0.155 - - [13/Sep/2018:23:02:15 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:02:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:02:27 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:02:35 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:02:36 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:03:04 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:03:04 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:04:35 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:04:37 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:05:17 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:05:33 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
192.168.0.155 - - [13/Sep/2018:23:05:40 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:05:49 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:06:16 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:06:23 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:06:28 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:06:31 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:06:31 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:06:35 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:06:39 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:06:51 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
192.168.0.155 - - [13/Sep/2018:23:07:01 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:07:05 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:12:08 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:12:10 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:12:16 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:12:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:12:20 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 2
192.168.0.155 - - [13/Sep/2018:23:12:27 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:12:31 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:12:31 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:12:36 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:15:03 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:15:05 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:15:10 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:15:10 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:15:17 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 2
192.168.0.155 - - [13/Sep/2018:23:15:20 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 2
192.168.0.155 - - [13/Sep/2018:23:15:33 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:15:37 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:15:37 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:15:49 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:15:53 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:15:53 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:17:10 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:17:11 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:17:15 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:17:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:17:24 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:17:24 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:17:30 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:17:33 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:17:42 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:17:48 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:18:40 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:18:43 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
